age,education_level,race,sex,over_50k,over_50k_text,count
39,Associates,White,Male,0,False,1
46,Masters,White,Male,0,False,1
18,Did not complete high school,White,Male,0,False,1
66,Associates,White,Female,0,False,1
27,High school,White,Male,0,False,1
28,High school,White,Male,0,False,1
51,Some college,White,Male,1,True,1
27,Bachelors,White,Male,0,False,1
28,Bachelors,White,Male,1,True,1
27,High school,White,Female,0,False,1
21,High school,Black,Male,0,False,1
34,High school,Black,Male,0,False,1
18,High school,White,Male,0,False,1
33,Bachelors,White,Male,0,False,1
44,Some college,Black,Male,1,True,1
43,Some college,White,Female,0,False,1
30,Some college,Black,Male,0,False,1
40,Did not complete high school,White,Male,1,True,1
37,Some college,White,Male,1,True,1
34,High school,Black,Male,0,False,1
41,Bachelors,White,Female,0,False,1
53,Bachelors,White,Female,0,False,1
31,Masters,White,Female,0,False,1
58,Doctorate,White,Male,1,True,1
38,Some college,Black,Female,0,False,1
24,Some college,White,Male,0,False,1
41,Bachelors,Black,Male,0,False,1
47,Some college,White,Male,0,False,1
41,Bachelors,White,Male,0,False,1
23,Did not complete high school,White,Male,0,False,1
36,Some college,White,Male,0,False,1
40,Masters,White,Female,1,True,1
35,Masters,White,Male,1,True,1
24,High school,White,Male,0,False,1
26,Masters,White,Female,0,False,1
19,High school,White,Male,0,False,1
51,Bachelors,White,Male,1,True,1
42,Some college,White,Female,0,False,1
37,High school,White,Female,0,False,1
18,Did not complete high school,White,Female,0,False,1
36,Bachelors,Black,Male,1,True,1
35,High school,White,Male,0,False,1
58,High school,White,Female,1,True,1
17,Did not complete high school,White,Female,0,False,1
44,High school,Black,Male,0,False,1
37,High school,White,Male,1,True,1
35,Some college,Amer-Indian-Eskimo,Female,0,False,1
60,High school,Asian-Pac-Islander,Male,0,False,1
54,Did not complete high school,White,Male,1,True,1
37,Bachelors,Black,Male,1,True,1
50,Associates,White,Female,0,False,1
38,Bachelors,White,Male,0,False,1
45,Bachelors,White,Male,0,False,1
25,Did not complete high school,White,Male,0,False,1
31,Some college,White,Male,0,False,1
64,Did not complete high school,White,Male,0,False,1
90,High school,Black,Male,0,False,1
54,High school,Black,Male,0,False,1
53,Did not complete high school,White,Female,0,False,1
18,High school,White,Female,0,False,1
60,Did not complete high school,Amer-Indian-Eskimo,Female,0,False,1
66,High school,White,Male,0,False,1
75,Associates,White,Female,0,False,1
65,High school,White,Female,0,False,1
35,Did not complete high school,Black,Male,0,False,1
41,High school,Black,Female,0,False,1
25,Some college,White,Male,0,False,1
33,Some college,Other,Female,0,False,1
28,Professional school,White,Male,1,True,1
59,High school,White,Male,0,False,1
40,Some college,White,Female,0,False,1
41,Bachelors,White,Male,1,True,1
38,Masters,White,Male,1,True,1
23,High school,White,Male,0,False,1
40,Bachelors,White,Male,1,True,1
41,High school,White,Female,0,False,1
24,Associates,White,Male,0,False,1
20,Some college,White,Male,0,False,1
38,Some college,White,Male,0,False,1
56,High school,White,Male,0,False,1
58,High school,White,Male,1,True,1
32,High school,White,Female,0,False,1
40,Associates,White,Male,1,True,1
45,High school,White,Male,0,False,1
41,Professional school,White,Female,1,True,1
42,Bachelors,Black,Female,0,False,1
59,Did not complete high school,Black,Female,0,False,1
19,Some college,White,Male,0,False,1
58,Some college,White,Male,0,False,1
42,High school,Asian-Pac-Islander,Male,1,True,1
20,High school,White,Female,0,False,1
32,High school,White,Female,0,False,1
45,Associates,White,Female,0,False,1
50,Did not complete high school,White,Male,0,False,1
36,Bachelors,White,Female,0,False,1
45,High school,White,Male,0,False,1
17,Did not complete high school,White,Male,0,False,1
59,Some college,White,Male,0,False,1
26,Did not complete high school,White,Male,0,False,1
37,Some college,Asian-Pac-Islander,Male,1,True,1
19,Some college,White,Male,0,False,1
64,High school,White,Male,1,True,1
33,Bachelors,White,Female,0,False,1
33,High school,White,Female,1,True,1
61,High school,White,Male,1,True,1
17,Did not complete high school,White,Male,0,False,1
50,Masters,White,Male,0,False,1
27,Masters,White,Male,0,False,1
30,High school,White,Female,0,False,1
43,High school,Black,Male,0,False,1
44,Some college,White,Male,1,True,1
35,Some college,White,Female,0,False,1
25,Some college,White,Female,0,False,1
24,Some college,White,Female,1,True,1
22,Bachelors,White,Female,0,False,1
42,Some college,White,Male,1,True,1
34,Associates,Black,Female,0,False,1
60,Bachelors,White,Female,0,False,1
21,High school,White,Male,0,False,1
57,Masters,White,Male,1,True,1
41,Professional school,White,Male,1,True,1
50,Some college,White,Male,0,False,1
25,Bachelors,White,Female,0,False,1
50,Did not complete high school,White,Male,0,False,1
36,Bachelors,White,Male,0,False,1
31,High school,White,Female,0,False,1
29,Bachelors,White,Male,0,False,1
21,Some college,White,Male,0,False,1
27,Bachelors,Black,Female,0,False,1
65,High school,White,Male,0,False,1
37,Bachelors,White,Female,0,False,1
39,Masters,Asian-Pac-Islander,Female,0,False,1
24,High school,White,Male,0,False,1
38,High school,White,Male,0,False,1
48,Bachelors,White,Male,1,True,1
21,Some college,Asian-Pac-Islander,Female,0,False,1
31,High school,White,Male,1,True,1
55,High school,White,Male,1,True,1
24,Some college,Asian-Pac-Islander,Female,0,False,1
43,High school,White,Female,0,False,1
26,Associates,White,Male,0,False,1
46,Associates,White,Female,0,False,1
35,Associates,White,Male,1,True,1
41,Some college,White,Male,1,True,1
26,Bachelors,White,Male,0,False,1
34,Masters,Asian-Pac-Islander,Male,1,True,1
19,Some college,Black,Female,0,False,1
36,Bachelors,Black,Female,1,True,1
22,Some college,White,Male,0,False,1
24,Some college,White,Male,0,False,1
77,Some college,White,Male,0,False,1
22,Did not complete high school,White,Female,0,False,1
29,Some college,White,Female,0,False,1
62,High school,White,Female,0,False,1
39,High school,White,Male,0,False,1
43,Some college,White,Male,0,False,1
35,High school,White,Male,0,False,1
29,Did not complete high school,White,Female,0,False,1
76,Masters,White,Male,0,False,1
63,High school,White,Male,0,False,1
23,Associates,Black,Female,0,False,1
43,Some college,White,Female,1,True,1
58,High school,White,Male,0,False,1
66,High school,White,Male,0,False,1
41,Some college,Black,Male,0,False,1
26,Bachelors,White,Male,0,False,1
47,Associates,White,Male,0,False,1
55,Did not complete high school,White,Male,0,False,1
53,High school,White,Male,0,False,1
17,Did not complete high school,White,Male,0,False,1
30,High school,White,Male,0,False,1
49,Masters,White,Male,0,False,1
19,High school,Black,Male,0,False,1
45,High school,Black,Male,0,False,1
26,Associates,White,Male,0,False,1
38,Associates,White,Male,1,True,1
36,High school,White,Male,1,True,1
33,High school,White,Male,0,False,1
22,Some college,Black,Female,0,False,1
43,Bachelors,White,Male,0,False,1
67,Did not complete high school,White,Male,0,False,1
30,Associates,White,Female,0,False,1
56,Associates,White,Male,0,False,1
31,Bachelors,White,Male,0,False,1
33,Bachelors,White,Male,1,True,1
26,High school,White,Male,0,False,1
33,Bachelors,White,Male,1,True,1
46,Did not complete high school,White,Male,0,False,1
59,Bachelors,White,Male,1,True,1
38,High school,White,Male,1,True,1
65,Did not complete high school,Other,Male,0,False,1
40,Associates,White,Male,1,True,1
42,High school,White,Female,0,False,1
26,Did not complete high school,White,Male,0,False,1
36,Did not complete high school,White,Female,0,False,1
62,Masters,White,Male,1,True,1
43,Bachelors,White,Male,0,False,1
43,Bachelors,White,Male,1,True,1
22,High school,White,Male,0,False,1
28,High school,White,Male,0,False,1
56,Some college,White,Male,0,False,1
22,Associates,White,Female,0,False,1
57,Bachelors,White,Female,1,True,1
39,High school,White,Female,0,False,1
26,Some college,White,Female,0,False,1
17,Did not complete high school,White,Male,0,False,1
40,Associates,White,Male,1,True,1
45,High school,Black,Male,0,False,1
44,High school,Black,Male,0,False,1
20,Some college,White,Female,0,False,1
33,High school,White,Female,0,False,1
23,Some college,White,Male,0,False,1
46,Masters,White,Male,0,False,1
38,High school,White,Male,0,False,1
54,High school,White,Male,0,False,1
46,Did not complete high school,White,Female,0,False,1
25,Some college,White,Male,0,False,1
46,Some college,White,Female,0,False,1
36,Some college,White,Female,0,False,1
23,High school,White,Female,0,False,1
29,High school,White,Male,0,False,1
44,Some college,White,Female,1,True,1
19,Some college,White,Female,0,False,1
19,High school,White,Female,0,False,1
35,High school,White,Female,1,True,1
27,Bachelors,White,Male,0,False,1
46,Associates,White,Male,0,False,1
34,Bachelors,White,Male,1,True,1
34,High school,White,Female,0,False,1
44,Some college,White,Male,0,False,1
45,Some college,White,Female,0,False,1
20,High school,White,Female,0,False,1
25,Bachelors,White,Male,1,True,1
52,Bachelors,White,Male,1,True,1
20,Some college,White,Male,0,False,1
28,Some college,White,Female,0,False,1
50,Bachelors,White,Male,1,True,1
34,Associates,White,Female,0,False,1
28,Did not complete high school,Other,Male,0,False,1
41,Masters,White,Male,1,True,1
28,High school,White,Male,0,False,1
46,High school,White,Male,0,False,1
28,Some college,White,Female,1,True,1
32,Some college,White,Male,0,False,1
41,Some college,Black,Female,0,False,1
24,High school,Black,Female,0,False,1
33,Some college,White,Female,0,False,1
46,Doctorate,White,Male,1,True,1
31,Some college,White,Male,0,False,1
35,Did not complete high school,White,Male,1,True,1
52,Did not complete high school,White,Male,0,False,1
30,Did not complete high school,White,Female,0,False,1
34,Did not complete high school,Black,Male,0,False,1
34,High school,White,Female,0,False,1
20,Some college,White,Male,0,False,1
17,Did not complete high school,White,Male,0,False,1
32,Bachelors,White,Female,1,True,1
29,High school,White,Male,0,False,1
33,Did not complete high school,White,Female,0,False,1
25,High school,White,Male,0,False,1
36,Masters,White,Male,0,False,1
23,High school,White,Male,0,False,1
63,High school,White,Male,1,True,1
47,Masters,White,Male,0,False,1
80,High school,White,Male,0,False,1
17,Did not complete high school,White,Male,0,False,1
40,Bachelors,White,Female,0,False,1
30,Associates,White,Female,1,True,1
27,Some college,Asian-Pac-Islander,Male,0,False,1
33,Masters,White,Male,1,True,1
34,High school,Black,Male,0,False,1
34,Some college,White,Female,0,False,1
23,Some college,White,Male,0,False,1
42,Some college,White,Female,0,False,1
29,Bachelors,White,Male,0,False,1
45,High school,White,Female,0,False,1
24,High school,White,Male,0,False,1
44,Some college,White,Male,1,True,1
27,Did not complete high school,White,Male,0,False,1
20,Some college,White,Male,0,False,1
44,High school,Black,Female,0,False,1
51,High school,Amer-Indian-Eskimo,Male,0,False,1
20,High school,White,Male,0,False,1
17,Did not complete high school,White,Female,0,False,1
19,High school,Black,Female,0,False,1
45,Some college,White,Male,1,True,1
60,High school,White,Male,1,True,1
42,Associates,Black,Male,1,True,1
44,High school,White,Female,1,True,1
40,Associates,Asian-Pac-Islander,Male,1,True,1
30,High school,White,Female,0,False,1
38,Some college,Black,Male,0,False,1
23,High school,White,Male,0,False,1
32,Some college,White,Male,0,False,1
44,Associates,White,Male,0,False,1
54,High school,Black,Male,0,False,1
32,Bachelors,White,Male,0,False,1
50,Did not complete high school,White,Male,0,False,1
24,Bachelors,White,Female,0,False,1
37,High school,White,Female,0,False,1
52,High school,White,Male,0,False,1
38,Some college,White,Male,0,False,1
49,Masters,White,Male,1,True,1
30,Bachelors,White,Female,1,True,1
60,Some college,White,Male,1,True,1
22,Some college,White,Male,0,False,1
35,High school,White,Male,0,False,1
30,High school,White,Male,0,False,1
67,Associates,White,Female,0,False,1
46,Bachelors,White,Female,0,False,1
17,Did not complete high school,White,Male,0,False,1
22,Some college,White,Male,0,False,1
27,Did not complete high school,White,Male,0,False,1
23,High school,White,Female,0,False,1
33,Associates,White,Male,0,False,1
43,Some college,White,Male,0,False,1
28,Bachelors,White,Male,0,False,1
41,High school,White,Female,0,False,1
52,Did not complete high school,Black,Male,0,False,1
25,Some college,Black,Female,0,False,1
63,Did not complete high school,White,Male,0,False,1
59,High school,White,Male,0,False,1
45,Bachelors,White,Female,0,False,1
38,Bachelors,White,Male,1,True,1
40,High school,White,Female,0,False,1
46,High school,White,Male,0,False,1
35,Associates,White,Female,0,False,1
34,High school,White,Female,0,False,1
33,Bachelors,White,Male,0,False,1
41,High school,White,Female,0,False,1
20,Some college,White,Male,0,False,1
23,Did not complete high school,White,Male,0,False,1
26,Some college,White,Female,0,False,1
72,High school,White,Male,0,False,1
23,High school,White,Male,0,False,1
62,High school,White,Male,0,False,1
52,Some college,White,Male,0,False,1
58,Some college,White,Female,0,False,1
25,Bachelors,White,Female,0,False,1
24,Bachelors,Black,Male,0,False,1
19,Some college,White,Male,0,False,1
43,Some college,White,Male,0,False,1
47,High school,Black,Female,0,False,1
39,High school,White,Female,0,False,1
49,Associates,White,Male,0,False,1
53,Did not complete high school,Black,Female,0,False,1
32,Associates,White,Male,0,False,1
34,Some college,White,Male,1,True,1
28,High school,White,Male,0,False,1
57,Associates,White,Female,0,False,1
25,Some college,Amer-Indian-Eskimo,Female,0,False,1
20,Some college,White,Male,0,False,1
21,Some college,White,Female,0,False,1
34,Bachelors,White,Male,1,True,1
38,Bachelors,White,Male,1,True,1
50,High school,White,Male,1,True,1
24,Some college,Black,Male,0,False,1
37,Some college,White,Male,1,True,1
44,Some college,White,Male,1,True,1
28,Some college,White,Female,0,False,1
42,Bachelors,White,Male,1,True,1
74,Some college,White,Female,0,False,1
38,High school,White,Male,0,False,1
44,Masters,White,Male,0,False,1
44,Did not complete high school,Other,Female,0,False,1
26,High school,White,Male,0,False,1
36,High school,Black,Male,0,False,1
41,Associates,White,Female,1,True,1
67,Professional school,White,Male,1,True,1
39,Did not complete high school,White,Male,0,False,1
57,Did not complete high school,Black,Female,0,False,1
29,Associates,White,Male,0,False,1
31,Bachelors,White,Female,0,False,1
34,High school,Black,Female,0,False,1
44,Some college,White,Male,0,False,1
29,Doctorate,White,Male,0,False,1
30,Some college,White,Female,0,False,1
27,High school,White,Male,0,False,1
27,Some college,White,Male,0,False,1
32,High school,White,Female,0,False,1
58,Did not complete high school,White,Female,0,False,1
35,Some college,White,Male,0,False,1
21,High school,White,Male,0,False,1
28,Some college,White,Male,0,False,1
46,Some college,White,Male,0,False,1
36,High school,White,Female,0,False,1
72,Did not complete high school,White,Female,0,False,1
35,High school,Black,Female,0,False,1
33,Associates,Black,Female,1,True,1
69,Did not complete high school,White,Female,0,False,1
35,High school,White,Male,0,False,1
31,High school,White,Female,0,False,1
34,High school,White,Female,0,False,1
30,Did not complete high school,White,Male,0,False,1
28,Bachelors,White,Male,0,False,1
54,Bachelors,White,Male,1,True,1
47,Some college,White,Male,1,True,1
24,High school,Black,Female,0,False,1
52,Bachelors,White,Male,1,True,1
20,High school,Amer-Indian-Eskimo,Male,0,False,1
43,Masters,White,Male,0,False,1
45,Did not complete high school,White,Female,0,False,1
29,High school,White,Male,0,False,1
47,Masters,White,Male,0,False,1
24,High school,White,Male,0,False,1
51,High school,White,Male,0,False,1
17,Did not complete high school,White,Male,0,False,1
37,Associates,White,Male,1,True,1
27,Doctorate,White,Female,0,False,1
29,Bachelors,White,Male,1,True,1
18,Did not complete high school,White,Male,0,False,1
36,Associates,White,Female,0,False,1
58,Bachelors,White,Female,0,False,1
26,Some college,White,Male,0,False,1
65,Some college,White,Male,1,True,1
57,High school,White,Male,1,True,1
59,High school,White,Male,0,False,1
27,High school,White,Male,0,False,1
31,Bachelors,White,Male,0,False,1
21,Some college,White,Female,0,False,1
29,Some college,White,Male,0,False,1
18,Did not complete high school,White,Male,0,False,1
52,Did not complete high school,White,Male,1,True,1
57,Bachelors,White,Male,0,False,1
42,High school,White,Male,0,False,1
55,High school,Asian-Pac-Islander,Female,0,False,1
60,Did not complete high school,White,Male,1,True,1
31,Bachelors,White,Male,1,True,1
23,Bachelors,White,Female,0,False,1
27,High school,White,Male,0,False,1
23,Some college,Amer-Indian-Eskimo,Female,0,False,1
42,Professional school,White,Male,1,True,1
25,Some college,White,Male,0,False,1
49,Bachelors,White,Female,0,False,1
32,Bachelors,White,Male,0,False,1
19,Some college,White,Male,0,False,1
60,Did not complete high school,White,Female,0,False,1
42,Did not complete high school,White,Male,0,False,1
35,Associates,White,Male,0,False,1
48,High school,Black,Female,0,False,1
51,Masters,White,Male,1,True,1
29,High school,Amer-Indian-Eskimo,Male,0,False,1
36,High school,Black,Male,0,False,1
17,Did not complete high school,White,Female,0,False,1
52,Masters,White,Female,0,False,1
24,High school,White,Male,0,False,1
24,High school,White,Male,0,False,1
26,Bachelors,White,Male,0,False,1
27,Bachelors,White,Female,0,False,1
39,High school,White,Male,0,False,1
30,High school,Black,Male,0,False,1
50,High school,White,Male,0,False,1
52,Bachelors,White,Male,0,False,1
46,Professional school,White,Male,1,True,1
23,Bachelors,White,Female,0,False,1
45,Did not complete high school,Black,Female,0,False,1
65,Did not complete high school,Black,Female,0,False,1
29,Associates,White,Male,0,False,1
47,Did not complete high school,White,Male,0,False,1
30,High school,Black,Male,0,False,1
34,High school,White,Male,1,True,1
38,High school,White,Male,0,False,1
33,Some college,White,Male,1,True,1
49,Bachelors,White,Male,1,True,1
47,Some college,Black,Female,0,False,1
49,Did not complete high school,Black,Female,0,False,1
43,Some college,White,Male,1,True,1
30,Bachelors,Black,Female,1,True,1
58,High school,White,Male,0,False,1
19,High school,White,Female,0,False,1
21,Bachelors,White,Male,0,False,1
33,Bachelors,White,Male,1,True,1
47,Did not complete high school,White,Male,0,False,1
52,Doctorate,White,Male,1,True,1
26,High school,White,Male,0,False,1
60,High school,White,Male,0,False,1
21,Some college,White,Male,0,False,1
36,Some college,White,Male,1,True,1
31,Some college,White,Male,0,False,1
50,Doctorate,White,Male,1,True,1
31,High school,White,Female,0,False,1
71,High school,White,Male,0,False,1
58,High school,White,Male,0,False,1
30,Bachelors,White,Male,1,True,1
20,Some college,White,Male,0,False,1
24,High school,White,Male,0,False,1
35,Doctorate,Asian-Pac-Islander,Male,1,True,1
38,Some college,White,Female,0,False,1
27,High school,White,Female,0,False,1
29,Some college,Asian-Pac-Islander,Female,0,False,1
70,Did not complete high school,White,Female,0,False,1
34,High school,White,Male,0,False,1
44,Did not complete high school,White,Male,0,False,1
43,High school,White,Male,1,True,1
44,Did not complete high school,Black,Male,1,True,1
35,Masters,White,Male,0,False,1
27,Some college,White,Male,0,False,1
43,Masters,White,Male,0,False,1
20,Some college,White,Female,0,False,1
42,Associates,White,Female,1,True,1
27,Some college,White,Male,0,False,1
42,High school,Black,Male,1,True,1
20,Did not complete high school,Asian-Pac-Islander,Female,0,False,1
24,Did not complete high school,White,Male,0,False,1
48,Some college,White,Male,0,False,1
17,Did not complete high school,White,Female,0,False,1
17,Did not complete high school,White,Male,0,False,1
33,Bachelors,White,Male,1,True,1
50,High school,White,Male,1,True,1
22,High school,White,Female,0,False,1
17,Did not complete high school,White,Male,0,False,1
32,Some college,White,Male,0,False,1
31,High school,White,Male,0,False,1
58,High school,White,Male,0,False,1
29,High school,White,Male,0,False,1
37,Associates,White,Male,1,True,1
34,High school,White,Male,1,True,1
23,Some college,Black,Male,0,False,1
18,Did not complete high school,White,Female,0,False,1
34,High school,White,Female,0,False,1
66,Did not complete high school,White,Male,0,False,1
45,Bachelors,White,Female,0,False,1
41,Masters,White,Male,0,False,1
26,High school,White,Male,0,False,1
54,Some college,White,Male,0,False,1
24,Some college,Black,Female,0,False,1
42,Some college,White,Male,0,False,1
20,Some college,White,Male,0,False,1
23,Bachelors,White,Female,0,False,1
25,Associates,White,Male,0,False,1
35,Masters,White,Male,1,True,1
31,Masters,White,Male,1,True,1
30,Bachelors,White,Female,0,False,1
19,High school,White,Female,0,False,1
36,Bachelors,White,Male,0,False,1
31,Bachelors,White,Female,0,False,1
21,Some college,White,Male,0,False,1
31,Some college,White,Male,0,False,1
46,Doctorate,White,Female,1,True,1
44,Bachelors,White,Female,1,True,1
40,Did not complete high school,Black,Male,0,False,1
45,Some college,Black,Male,0,False,1
60,High school,White,Male,0,False,1
18,Did not complete high school,White,Male,0,False,1
28,Bachelors,White,Male,0,False,1
36,Some college,Black,Female,0,False,1
36,Bachelors,White,Male,0,False,1
40,Associates,White,Male,0,False,1
36,Bachelors,White,Female,0,False,1
31,High school,Black,Female,0,False,1
33,High school,White,Male,0,False,1
19,High school,White,Female,0,False,1
22,Some college,White,Female,0,False,1
34,Bachelors,White,Male,1,True,1
33,High school,White,Male,0,False,1
41,High school,White,Male,0,False,1
29,Bachelors,White,Male,0,False,1
50,High school,White,Male,1,True,1
42,Bachelors,White,Male,1,True,1
43,Bachelors,White,Male,1,True,1
44,High school,White,Female,0,False,1
20,Some college,White,Female,0,False,1
31,High school,White,Male,0,False,1
65,Did not complete high school,White,Male,1,True,1
23,Some college,White,Female,0,False,1
55,Some college,Asian-Pac-Islander,Female,0,False,1
26,Associates,White,Male,0,False,1
25,Associates,White,Female,0,False,1
45,Some college,Black,Female,0,False,1
35,Some college,White,Male,0,False,1
36,Some college,Black,Female,0,False,1
43,Bachelors,White,Male,0,False,1
56,High school,Black,Female,0,False,1
42,Bachelors,White,Male,1,True,1
19,Some college,White,Female,0,False,1
55,High school,White,Male,0,False,1
42,Masters,White,Female,1,True,1
26,Associates,White,Male,0,False,1
17,Did not complete high school,White,Male,0,False,1
42,Bachelors,White,Female,1,True,1
55,High school,White,Male,1,True,1
32,Some college,Black,Female,0,False,1
29,Did not complete high school,Black,Male,0,False,1
46,Bachelors,White,Male,0,False,1
29,Bachelors,White,Male,1,True,1
22,Bachelors,White,Male,0,False,1
58,Did not complete high school,White,Male,0,False,1
23,High school,White,Male,0,False,1
39,High school,White,Male,0,False,1
27,Associates,White,Male,0,False,1
54,High school,White,Male,1,True,1
33,Bachelors,White,Female,0,False,1
46,High school,White,Female,1,True,1
37,High school,Black,Male,0,False,1
36,High school,White,Female,0,False,1
59,High school,White,Female,1,True,1
34,High school,White,Male,0,False,1
53,Doctorate,White,Male,1,True,1
51,Bachelors,White,Male,1,True,1
32,Did not complete high school,White,Female,0,False,1
31,Some college,White,Male,0,False,1
22,Some college,White,Female,0,False,1
47,Bachelors,White,Female,0,False,1
